episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
1220000,3009683,928.8,0.111296,0.055648,0.401204,0.374915,0.77533,0.597403
1230000,3033816,937.0,0.1127,0.05635,0.362043,0.332105,0.403323,0.580485
1240000,3057926,945.7,0.111074,0.055537,0.416846,0.355561,0.608554,0.665458
1250000,3082068,954.5,0.110071,0.055036,0.314717,0.431289,0.387815,0.684284
1260000,3106138,963.4,0.11508,0.05754,0.367356,0.338064,0.608621,0.834009
1270000,3130174,972.7,0.114931,0.057465,0.408408,0.392186,0.780568,0.54085
1280000,3154263,981.4,0.106354,0.053177,0.404638,0.326021,0.635678,0.787391
1290000,3178413,990.1,0.107552,0.053776,0.299679,0.338741,0.479028,0.650117
1300000,3202381,998.8,0.10878,0.05439,0.39867,0.35705,0.661758,0.67445
1310000,3226427,1007.4,0.108812,0.054406,0.398327,0.367836,0.598849,0.729151
1320000,3250564,1015.9,0.102335,0.051168,0.398473,0.361176,0.558123,0.783162
1330000,3274574,1024.6,0.113092,0.056546,0.456718,0.402998,0.495831,0.623897
1340000,3298535,1033.6,0.105482,0.052741,0.393445,0.421391,0.442197,0.48049
1350000,3322540,1042.1,0.103951,0.051976,0.335685,0.415003,0.523849,0.821807
1360000,3346577,1050.6,0.102771,0.051386,0.371723,0.34084,0.632989,0.580717
1370000,3370623,1059.2,0.10019,0.050095,0.383337,0.336907,0.558309,0.562899
1380000,3394537,1067.6,0.102689,0.051344,0.382211,0.341586,0.462114,0.80303
1390000,3418554,1076.0,0.103015,0.051507,0.395086,0.320541,0.545416,0.733838
1400000,3442488,1084.7,0.096982,0.048491,0.416903,0.365726,0.576532,0.572882
1410000,3466385,1093.1,0.104199,0.0521,0.322782,0.295771,0.619714,0.555839
1420000,3490392,1102.0,0.102575,0.051288,0.370595,0.384369,0.613498,0.521083
1430000,3514337,1110.5,0.099418,0.049709,0.442004,0.291455,0.493254,0.785271
1440000,3538230,1118.9,0.090094,0.045047,0.466309,0.375839,0.602368,0.511956
1450000,3562207,1127.5,0.098924,0.049462,0.274289,0.404903,0.553538,0.43714
1460000,3586124,1135.6,0.101675,0.050838,0.445157,0.404904,0.417397,0.550983
1470000,3610016,1143.9,0.09819,0.049095,0.396617,0.39499,0.499923,0.460689
1480000,3634012,1152.2,0.095687,0.047843,0.443504,0.421752,0.630758,0.492288
1490000,3657874,1160.8,0.098023,0.049011,0.354747,0.329587,0.74869,0.534226
1500000,3681704,1169.0,0.091029,0.045514,0.413313,0.300081,0.388518,0.583848
1510000,3705629,1177.2,0.093837,0.046919,0.397285,0.401173,0.371329,0.506718
1520000,3729537,1185.5,0.091557,0.045779,0.367703,0.336297,0.626783,0.580389
1530000,3753387,1193.9,0.088933,0.044466,0.349501,0.27714,0.593102,0.478752
1540000,3777216,1202.7,0.088821,0.044411,0.488264,0.2897,0.50238,0.521631
1550000,3801155,1211.7,0.095343,0.047672,0.386852,0.416908,0.811952,0.602379
1560000,3825025,1220.9,0.092765,0.046383,0.385394,0.3684,0.549444,0.521983
1570000,3848827,1230.7,0.08664,0.04332,0.468237,0.334593,0.347603,0.646512
1580000,3872712,1240.3,0.089414,0.044707,0.377254,0.357659,0.537911,0.66931
1590000,3896490,1249.7,0.093704,0.046852,0.382788,0.336285,0.33693,0.426117
1600000,3920273,1259.6,0.087284,0.043642,0.424635,0.356599,0.785074,0.572255
1610000,3944218,1269.4,0.090819,0.04541,0.337234,0.315338,0.633781,0.625824
1620000,3968063,1279.2,0.080998,0.040499,0.402455,0.349449,0.469772,0.889157
1630000,3991879,1289.2,0.085921,0.04296,0.470241,0.354152,0.501361,0.658098
1640000,4015687,1298.8,0.085646,0.042823,0.425848,0.38983,0.505479,0.547907
1650000,4039603,1308.6,0.087168,0.043584,0.441107,0.283929,0.565791,0.628085
1660000,4063512,1318.4,0.087666,0.043833,0.382386,0.327285,0.465868,0.615507
1670000,4087493,1328.3,0.081632,0.040816,0.413725,0.329741,0.417853,0.582827
