detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D2,mix,0.05,128,100,10000,1.0,1.0,1.0,0.617,0.5865,0.6466,1000,0.05
D2,mix,0.1,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D2,mix,0.2,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D2,anti,,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D1,imitate,0.05,128,1000,30,0.5369,0.5167,0.5572,0.067,0.0531,0.0842,1000,0.05
D1,imitate,0.1,128,1000,30,0.622,0.6018,0.6422,0.113,0.0948,0.1341,1000,0.05
D1,imitate,0.2,128,1000,30,0.9878,0.983,0.9926,0.938,0.9213,0.9513,1000,0.05
D1,mix,0.05,128,1000,30,0.5982,0.578,0.6185,0.098,0.0811,0.118,1000,0.05
D1,mix,0.1,128,1000,30,0.6816,0.6619,0.7013,0.17,0.148,0.1945,1000,0.05
D1,mix,0.2,128,1000,30,0.8151,0.7982,0.8319,0.363,0.3338,0.3933,1000,0.05
D1,anti,,128,1000,30,0.9999,0.9994,1.0,0.999,0.9944,0.9998,1000,0.05
D2,imitate,0.05,128,1000,30,0.4772,0.4519,0.5024,0.037,0.027,0.0506,1000,0.054
D2,imitate,0.1,128,1000,30,0.5031,0.4778,0.5284,0.089,0.0729,0.1083,1000,0.054
D2,imitate,0.2,128,1000,30,0.511,0.4857,0.5363,0.029,0.0203,0.0413,1000,0.054
D2,mix,0.05,128,1000,30,0.6311,0.6069,0.6554,0.177,0.1546,0.2019,1000,0.054
D2,mix,0.1,128,1000,30,0.714,0.6916,0.7364,0.348,0.3191,0.3781,1000,0.054
D2,mix,0.2,128,1000,30,0.8885,0.8737,0.9032,0.538,0.507,0.5687,1000,0.054
D2,anti,,128,1000,30,0.9931,0.9895,0.9967,0.975,0.9634,0.983,1000,0.054
D1,imitate,0.05,128,1000,100,0.5683,0.548,0.5886,0.092,0.0756,0.1115,1000,0.05
D1,imitate,0.1,128,1000,100,0.7592,0.7408,0.7775,0.316,0.2879,0.3455,1000,0.05
D1,imitate,0.2,128,1000,100,1.0,0.9999,1.0,1.0,0.9962,1.0,1000,0.05
D1,mix,0.05,128,1000,100,0.6695,0.6496,0.6893,0.155,0.1339,0.1787,1000,0.05
D1,mix,0.1,128,1000,100,0.8163,0.7995,0.833,0.382,0.3524,0.4125,1000,0.05
D1,mix,0.2,128,1000,100,0.9561,0.9472,0.9651,0.802,0.7762,0.8255,1000,0.05
D1,anti,,128,1000,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D2,imitate,0.05,128,1000,100,0.4948,0.4695,0.5201,0.041,0.0304,0.0551,1000,0.05
D2,imitate,0.1,128,1000,100,0.5258,0.5005,0.5511,0.104,0.0866,0.1245,1000,0.05
D2,imitate,0.2,128,1000,100,0.5115,0.4862,0.5368,0.052,0.0399,0.0676,1000,0.05
D2,mix,0.05,128,1000,100,0.7305,0.7086,0.7524,0.21,0.1859,0.2363,1000,0.05
D2,mix,0.1,128,1000,100,0.833,0.8151,0.8509,0.525,0.494,0.5558,1000,0.05
D2,mix,0.2,128,1000,100,0.9837,0.9781,0.9893,0.925,0.907,0.9397,1000,0.05
D2,anti,,128,1000,100,1.0,0.9999,1.0,1.0,0.9962,1.0,1000,0.05
D1,imitate,0.05,128,1000,300,0.6807,0.661,0.7004,0.193,0.1697,0.2186,1000,0.0478
D1,imitate,0.1,128,1000,300,0.9556,0.9466,0.9647,0.806,0.7803,0.8293,1000,0.0478
D1,imitate,0.2,128,1000,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0478
D1,mix,0.05,128,1000,300,0.7915,0.774,0.809,0.317,0.2889,0.3465,1000,0.0478
D1,mix,0.1,128,1000,300,0.9662,0.9583,0.9741,0.849,0.8255,0.8699,1000,0.0478
D1,mix,0.2,128,1000,300,0.9995,0.9986,1.0,0.999,0.9944,0.9998,1000,0.0478
D1,anti,,128,1000,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0478
D2,imitate,0.05,128,1000,300,0.5029,0.4776,0.5282,0.016,0.0099,0.0258,1000,0.052
D2,imitate,0.1,128,1000,300,0.5098,0.4845,0.5351,0.139,0.1189,0.1618,1000,0.052
D2,imitate,0.2,128,1000,300,0.5153,0.49,0.5406,0.053,0.0407,0.0687,1000,0.052
D2,mix,0.05,128,1000,300,0.8571,0.8405,0.8737,0.27,0.2434,0.2984,1000,0.052
D2,mix,0.1,128,1000,300,0.9488,0.9388,0.9588,0.906,0.8863,0.9226,1000,0.052
