episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
1180000,2917069,1556.3,0.12059,0.060295,0.37446,0.347292,0.777628,0.704955
1190000,2941484,1569.7,0.119013,0.059507,0.416857,0.504653,0.662581,0.644955
1200000,2965920,1584.3,0.115802,0.057901,0.289069,0.380024,0.875511,0.594703
1210000,2990340,1599.4,0.113265,0.056632,0.290887,0.35839,0.450994,0.623288
1220000,3014713,1613.9,0.117534,0.058767,0.364579,0.469785,0.624758,0.627404
1230000,3039050,1626.7,0.112166,0.056083,0.363445,0.406023,0.728646,0.587374
1240000,3063347,1640.1,0.115999,0.058,0.309501,0.374577,0.536999,0.582459
1250000,3087632,1653.4,0.10725,0.053625,0.311971,0.413646,1.002084,0.510271
1260000,3111952,1665.9,0.107906,0.053953,0.323471,0.458611,0.642136,0.650983
1270000,3136050,1679.3,0.103926,0.051963,0.431704,0.423095,0.769551,0.70527
1280000,3160248,1692.4,0.103275,0.051638,0.346563,0.362811,0.803751,0.527675
1290000,3184508,1705.4,0.10415,0.052075,0.382398,0.309226,0.564128,0.635023
1300000,3208705,1718.4,0.104205,0.052102,0.297533,0.393865,0.599168,0.666825
1310000,3232927,1732.1,0.102179,0.05109,0.378164,0.482545,0.987603,0.776931
1320000,3257115,1745.8,0.104619,0.052309,0.428987,0.437269,0.637337,0.511156
1330000,3281318,1758.6,0.106527,0.053263,0.446086,0.319943,0.611851,0.622932
1340000,3305410,1770.8,0.098158,0.049079,0.348252,0.319492,0.451539,0.544975
1350000,3329569,1786.0,0.097558,0.048779,0.337034,0.357663,0.564403,0.589531
1360000,3353722,1802.9,0.098275,0.049137,0.392877,0.423837,0.575185,0.538456
1370000,3377800,1820.5,0.096606,0.048303,0.381418,0.415977,0.476843,0.598953
1380000,3401950,1837.5,0.091567,0.045784,0.278676,0.373189,0.601047,0.46789
1390000,3426127,1853.7,0.093737,0.046868,0.399898,0.41831,0.558109,0.644212
1400000,3450308,1867.9,0.093971,0.046986,0.335202,0.395505,0.695167,0.542702
1410000,3474369,1883.3,0.102552,0.051276,0.452016,0.375456,0.558727,0.75843
1420000,3498428,1898.4,0.098289,0.049145,0.463458,0.272907,0.428755,0.591705
1430000,3522454,1913.2,0.096523,0.048262,0.460759,0.451939,0.561798,0.667274
1440000,3546528,1929.4,0.097079,0.048539,0.38663,0.384821,0.562602,0.525093
1450000,3570529,1945.6,0.100093,0.050046,0.290909,0.323093,0.407807,0.47206
1460000,3594512,1962.0,0.092323,0.046161,0.423555,0.377012,0.612869,0.435193
1470000,3618526,1979.7,0.095175,0.047587,0.40933,0.343771,0.38238,0.489348
1480000,3642544,2002.1,0.093786,0.046893,0.365973,0.380171,0.38294,0.755926
1490000,3666576,2020.7,0.092376,0.046188,0.487064,0.406485,0.526673,0.567486
1500000,3690496,2038.8,0.098156,0.049078,0.517533,0.383401,0.622356,0.529168
1510000,3714471,2059.6,0.091888,0.045944,0.437822,0.376488,0.507126,0.721019
1520000,3738481,2077.4,0.092192,0.046096,0.304854,0.405294,0.472174,0.415686
1530000,3762438,2092.9,0.093966,0.046983,0.443507,0.388223,0.359085,0.533568
1540000,3786364,2108.4,0.087093,0.043547,0.328658,0.527399,0.515394,0.467216
1550000,3810318,2124.5,0.095278,0.047639,0.422104,0.369992,0.332855,0.398216
1560000,3834310,2140.1,0.092612,0.046306,0.367864,0.385902,0.601844,0.483066
1570000,3858245,2155.2,0.087524,0.043762,0.424869,0.395077,0.44583,0.503915
1580000,3882286,2170.8,0.089473,0.044736,0.385207,0.379304,0.558738,0.720873
1590000,3906205,2186.9,0.089162,0.044581,0.406297,0.430024,0.582599,0.517898
1600000,3930098,2204.1,0.086268,0.043134,0.355553,0.365533,0.437495,0.626555
1610000,3954028,2220.2,0.08971,0.044855,0.324237,0.38843,0.500628,0.399829
1620000,3977924,2235.5,0.088475,0.044238,0.409538,0.355774,0.712168,0.532141
